id,smiles,inchikey
Z1270051918,COc1cc(F)c(NC(=O)c2oc(-c3ccccc3)nc2C)cc1OC,BIKBNPDTDHLPHG-UHFFFAOYSA-N
Z1250686200,NC(=O)c1cccc(NC(=O)c2ccn(-c3ccc(Cl)c(Cl)c3)n2)n1,WEXJKDUCNJJJKB-UHFFFAOYSA-N
Z1172187959,NC(=O)c1cc(C(=O)N2CCSc3ccc(Cl)cc32)nn1-c1ccccc1,PFXBRIARUYZBBC-UHFFFAOYSA-N
Z443891080,COc1cccc2c1N(C(=O)c1cnn(-c3ccccc3)c1)CCC2,ZSKFSJJNDWUXEE-UHFFFAOYSA-N
Z1493650835,Cc1ccc(NC(=O)c2cnn(-c3ccccc3C)c2)c(N(C)C)n1,BTZPOLBGPNZZOA-UHFFFAOYSA-N
Z1155269904,N#CCCSc1ccccc1NC(=O)c1ccc(-c2ccc(F)cc2)o1,AKCKZIYJJKSCJK-UHFFFAOYSA-N
Z381183864,COC(=O)c1ccc(Cl)c(NC(=O)c2cc(-c3ccc(C)cc3)no2)c1,OCALYTIZJVQJEF-UHFFFAOYSA-N
Z1137282805,Cc1ccccc1N(C(=O)c1sc(-c2ncccn2)nc1C)C(C)C,OSSCQVGQOIGAEX-UHFFFAOYSA-N
Z1383972699,O=C(Nc1ccc(Br)nc1Cl)c1cc(-c2ccccc2)on1,KCCLATKBPATYHJ-UHFFFAOYSA-N
Z1264460605,COc1ccc(N(C)C(=O)c2nnn(-c3ccc(Cl)cc3F)c2C)cn1,BIOHWVMWSFUVQE-UHFFFAOYSA-N
Z1220008259,Cc1c(CS(C)=O)cccc1NC(=O)c1cc(-c2cccc(Cl)c2)no1,RLJZKPANCNVZSY-UHFFFAOYSA-N
Z1497323901,Cc1cccc(NC(=O)c2cc(C)n(-c3ccc(F)cc3F)n2)c1C,XWABCBCGAQSWHR-UHFFFAOYSA-N
Z1273269216,Cc1nc(C)n(-c2ccc(C(=O)Nc3ccc(N(C)C)nc3)cc2)n1,FZODYHSRMSQCHB-UHFFFAOYSA-N
Z364533110,Cc1ccc2c(CC(=O)Nc3ccc(-n4cccn4)cc3C(F)(F)F)coc2c1,MYICMOSMLDRNFY-UHFFFAOYSA-N
Z1478723352,Cc1ccc2cc(C(=O)N(C)c3ncccc3F)ccc2n1,UZIYLLCNZUPOMP-UHFFFAOYSA-N
Z1411000338,CC(C)(C)c1nn(-c2ccccc2)cc1C(=O)Nc1ccc(-n2cncn2)cc1,ODIQXNJEPIYBFF-UHFFFAOYSA-N
Z33397787,O=C1CN(C(=O)c2ccccc2Cl)c2ccccc2N1,VGXWTIHBPFIIPB-UHFFFAOYSA-N
Z1565364487,Cc1cc(C)n(-c2ccc(C(=O)Nc3ccc4c(c3)COC4)cc2F)n1,ACLLGMDWPJYKCD-UHFFFAOYSA-N
Z1276347328,CC(C(=O)N(C)CC(=O)Nc1cccc(Oc2ccccn2)c1)n1cccn1,BVAJCIJVTBEHEL-UHFFFAOYSA-N
